Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,5.5,75.0,4.5,0.0
20260419172130,0,0,1,0,4,7.5,82.0,5.5,0.0
20260419172600,0,0,1,0,4,3.5,62.0,3.0,0.0
20260419172630,0,0,1,0,4,4.0,76.0,4.0,0.0
20260419173000,0,0,1,0,4,9.0,68.5,6.5,0.0
20260419173030,0,0,1,0,4,6.0,77.0,3.5,0.0
20260419173600,0,0,1,0,4,8.0,70.0,6.5,0.0
20260419173630,0,0,1,0,4,4.0,69.0,3.5,0.0
20260419174100,0,0,1,0,4,8.5,72.5,6.5,0.0
20260419174130,0,0,1,0,4,5.0,59.0,3.5,0.0
20260419174600,0,0,1,0,4,12.0,79.0,8.0,0.0
20260419174630,0,0,1,0,4,6.5,83.0,5.5,0.0
20260419175200,0,0,1,0,4,8.0,76.0,6.0,0.0
20260419175230,0,0,1,0,4,3.5,71.0,2.5,0.0
20260419175600,0,0,1,0,4,7.0,69.5,5.0,0.0
20260419175630,0,0,1,0,4,6.5,70.5,4.5,0.0
20260419180200,0,0,1,0,4,6.0,63.5,4.5,0.0
20260419180230,0,0,1,0,4,7.5,78.0,6.0,0.0
20260419180600,0,0,1,0,4,8.0,68.5,7.0,0.0
20260419180630,0,0,1,0,4,7.5,72.0,5.5,0.0
20260419181200,0,0,1,0,4,5.5,76.5,5.0,0.0
20260419181230,0,0,1,0,4,7.0,73.5,5.0,0.0
20260419181500,0,0,1,0,4,6.0,80.5,4.5,0.0
20260419181530,0,0,1,0,4,7.5,78.5,6.5,0.0
20260419182100,0,0,1,0,4,6.0,57.0,5.0,0.0
20260419182130,0,0,1,0,4,10.5,86.5,7.5,0.0
20260419182600,0,0,1,0,4,10.5,65.0,7.5,0.0
20260419182630,0,0,1,0,4,8.0,70.0,5.0,0.0
20260419183000,0,0,1,0,4,5.5,83.5,4.5,0.0
20260419183030,0,0,1,0,4,9.0,69.5,6.0,0.0
20260419183500,0,0,1,0,4,10.5,60.5,6.5,0.0
20260419183530,0,0,1,0,4,6.5,66.5,5.0,0.0
20260419184200,0,0,1,0,4,7.0,56.0,4.5,0.0
20260419184230,0,0,1,0,4,11.5,69.5,7.5,0.0
20260419184600,0,0,1,0,4,18.0,71.5,10.0,0.0
20260419184630,0,0,1,0,4,6.5,63.5,5.5,0.0
20260419184900,0,0,1,0,4,15.0,70.5,7.5,0.0
20260419184930,0,0,1,0,4,6.0,74.5,5.0,0.0
